domain,url,status,title,h1,h2_headings,file_status,topic_cluster,cluster_score,interim_triage,redirect_to_url
nakanodent.com,https://nakanodent.com/c-treatment/general/wisdom-tooth/,200,親知らず治療 歯科口腔外科・抜歯相談 岡山なかの歯科・矯正歯科クリニック,親知らず治療と歯科口腔外科での抜歯相談,親知らずとは,正常,C30_口腔外科・親知らず,0.4066,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/public-health/,200,公衆衛生活動 地域貢献・学校歯科検診 岡山なかの歯科・矯正歯科クリニック,公衆衛生活動 地域への貢献と歯科啓発,"公衆衛生活動実績, カンボジアに学校を作ろう！",正常,C42_医院の取り組み・理念・特色,0.3421,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8975/,200,誰もが気になる「お口の匂い」―口臭の本当の原因と対策について 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,"口臭の原因の約8〜9割はお口の中にある, 原因① 歯周病, 原因② 舌の汚れ（舌苔）, 原因③ 虫歯や不適合な被せ物, 原因④ お口の乾燥（ドライマウス）, 原因⑤ 入れ歯の汚れ, 胃が悪いと口臭がするのは本当？, 口臭を予防するために, 口臭は体からのサイン, 最後に",正常,C28_歯周病治療と再生療法,0.4157,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8967/,200,親知らずの抜歯、なぜ大学病院をご紹介することがあるのか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@親知らずの抜歯、なぜ大学病院をご紹介することがあるのか？@@実際に昨年、私の後輩の歯科医院で勤務する歯科医師の先生が親知らずを抜歯して不幸なことに麻痺が起こり、裁判になりました。,,正常,C27_一般歯科・虫歯と痛み,0.38,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8961/,200,"マイクロスコープを使用した外科的歯内療法（歯根端切除術）を行いました ～保険適用で患者さん負担は約6,000円～ 岡山なかの歯科・矯正歯科クリニック","岡山なかの歯科・矯正歯科クリニック @@マイクロスコープを使用した外科的歯内療法（歯根端切除術）を行いました ～保険適用で患者さん負担は約6,000円～",,正常,C23_マイクロスコープ精密治療,0.4827,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8951/,200,歯を失う本当の原因――実は「虫歯」ではありません 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@歯を失う本当の原因――実は「虫歯」ではありません,,正常,C27_一般歯科・虫歯と痛み,0.2831,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8953/,200,院長は、なぜそんなに、いつも元気なんですか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@24時間働けます！！！（リゲイン）@@私の進化は止まらない！@@私の進化は止まらない！！！,"「院長、いつも元気ですね！疲れないんですか？」, 開業して以来35年間、私は病気やケガで, 「先生は何歳まで診療を続けられるんですか？」",正常,C07_インプラント・基礎理解,0.4071,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e8%99%ab%e6%ad%af/,200,"Tag Archive for ""虫歯 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,虫歯,正常,C27_一般歯科・虫歯と痛み,0.2865,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e8%a6%aa%e7%9f%a5%e3%82%89%e3%81%9a/,200,"Tag Archive for ""親知らず 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,親知らず,要確認（ファイル名フラグ）,C30_口腔外科・親知らず,0.4823,要確認,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e8%a9%b0%e3%82%81%e7%89%a9%e3%83%bb%e8%a2%ab%e3%81%9b%e7%89%a9%e3%81%8c%e3%81%a8%e3%82%8c%e3%81%9f/,200,"Tag Archive for ""詰め物・被せ物がとれた 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,詰め物・被せ物がとれた,要確認（ファイル名フラグ）,C27_一般歯科・虫歯と痛み,0.2487,要確認,
nakanodent.com,https://nakanodent.com/blog/archives/8944/,200,「キーン！」が怖い時代は終わる？ 最新の虫歯治療は“削らない・痛くない”時代へ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@「キーン！」が怖い時代は終わる？@@虫歯には進行段階がある@@虫歯治療は「早期発見」が重要@@最新の虫歯治療①@@最新の虫歯治療②@@最新の虫歯治療③@@未来の虫歯治療@@虫歯治療で一番大切なこと@@最後に,"最新の虫歯治療は“削らない・痛くない”時代へ, C0（初期虫歯）, C1（エナメル質の虫歯）, C2（象牙質まで進んだ虫歯）, C3（神経まで達した虫歯）, C4（歯の頭が崩壊した状態）, ヒールオゾン治療, カリソルブ（カリエスプロ）, MTAセメント, エナメル質再生ジェル, 「早期発見・早期予防」",正常,C27_一般歯科・虫歯と痛み,0.5077,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/general/cavity/,200,虫歯治療 精密根管治療・再発防止 岡山なかの歯科・矯正歯科クリニック,虫歯治療と精密な根管治療による再発防止,"虫歯とは, 虫歯の進行度, CR（コンポジットレジン）治療, 詰め物による治療, 根管治療, 抜歯が必要な虫歯治療",正常,C27_一般歯科・虫歯と痛み,0.5182,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8973/,200,ChatGPTに、これからの人生をどう送るべきか？聞いてみた！ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,"①「もっと頑張る」より「長く続ける」, ② 自分しかできない仕事に集中する, ③ 「学ぶ」より「残す」, ④ 人材育成を最大の仕事にする, ⑤ 「有名になる」より「信頼を積む」, ⑥ 家族との時間を意識的に増やす, ⑦ 毎年1つ新しい挑戦をする, 最後に",正常,C42_医院の取り組み・理念・特色,0.1988,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8964/,200,6月4日は「虫歯予防デー」～お口の健康を見直す絶好の機会です～ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@6月4日は「虫歯予防デー」～お口の健康を見直す絶好の機会です～,"学校歯科健診の季節です, 大人こそ定期検診が必要です, こんな方はぜひ一度ご相談ください, 予防は最高の治療, ご家族皆さまでお口の健康チェックを",正常,C27_一般歯科・虫歯と痛み,0.4431,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e5%88%97%e7%9f%af%e6%ad%a3/,200,"Tag Archive for ""歯列矯正 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯列矯正,正常,C40_地域・アクセス・診療時間,0.179,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e3%81%8c%e6%ac%a0%e3%81%91%e3%81%9f/,200,"Tag Archive for ""歯が欠けた 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯が欠けた,正常,C40_地域・アクセス・診療時間,0.1785,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e5%91%a8%e7%97%85/,200,"Tag Archive for ""歯周病 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯周病,正常,C28_歯周病治療と再生療法,0.3771,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%a0%b9%e7%ae%a1%e6%b2%bb%e7%99%82/,200,"Tag Archive for ""根管治療 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,根管治療,正常,C23_マイクロスコープ精密治療,0.4125,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e3%81%ae%e7%97%9b%e3%81%bf/,200,"Tag Archive for ""歯の痛み 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯の痛み,正常,C40_地域・アクセス・診療時間,0.1783,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e3%81%8e%e3%81%97%e3%82%8a%e3%80%81%e9%a3%9f%e3%81%84%e3%81%97%e3%81%b0%e3%82%8a/,200,"Tag Archive for ""歯ぎしり、食いしばり 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯ぎしり、食いしばり,要確認（ファイル名フラグ）,C31_顎関節症・歯ぎしり・睡眠時無呼吸,0.5121,要確認,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e3%81%ae%e3%82%af%e3%83%aa%e3%83%bc%e3%83%8b%e3%83%b3%e3%82%b0/,200,"Tag Archive for ""歯のクリーニング 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯のクリーニング,正常,C26_自費メンテナンス・予防,0.4192,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/general/periodontitis/,200,歯周病治療 歯槽膿漏・歯肉炎 岡山なかの歯科・矯正歯科クリニック,歯周病治療による歯槽膿漏や歯肉炎の改善@@ 歯周病治療 歯槽膿漏・歯肉炎 岡山なかの歯科・矯正歯科クリニック,歯周病治療 Periodontal,正常,C28_歯周病治療と再生療法,0.434,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8958/,200,日本で唯一！？銀歯が売れるブックオフに行って驚いた話 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,"実は銀歯には貴金属が含まれている, 捨てられていた銀歯が資源になる時代, NHKの取材を受けた銀歯高騰問題, それでも一番価値があるのは天然の歯, 銀歯からセラミックへ変わる時代, 銀歯が売れる時代だからこそ考えたいこと",正常,C21_セラミック治療・基礎と適応,0.3487,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/efforts/safety/,200,届出施設基準一覧｜岡山なかの歯科・矯正歯科クリニック,厚生労働省届出 施設基準一覧@@ 届出施設基準一覧｜岡山なかの歯科・矯正歯科クリニック,当院は、厚生労働大臣の定める施設基準に適合し、,正常,C38_安全性・滅菌・感染対策,0.2501,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8942/,200,静脈内鎮静法から笑気麻酔でのオールオンフォー 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.4706,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/qa/,200,よくある質問 治療の不安・費用相談 岡山なかの歯科・矯正歯科クリニック,よくある質問 治療と費用に関するFAQ,"虫歯と歯の根っこ治療Ｑ＆Ａ, 歯周病Ｑ＆Ａ, 子供の歯Ｑ＆Ａ, 歯の被せ物Ｑ＆Ａ, 歯の矯正Ｑ＆Ａ, インプラントＱ＆Ａ, ホワイトニングＱ＆Ａ, 歯の審美Ｑ＆Ａ, 超精密入れ歯Ｑ＆Ａ, 予防歯科Ｑ＆Ａ",正常,C07_インプラント・基礎理解,0.4479,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/general/denture/,200,入れ歯治療 義歯・合わない入れ歯改善 岡山なかの歯科・矯正歯科クリニック,入れ歯治療 噛み合わせを重視した義歯の製作@@ 入れ歯治療 義歯・合わない入れ歯改善 岡山なかの歯科・矯正歯科クリニック,入れ歯（義歯）治療 Dentures,正常,C24_自費入れ歯・義歯,0.3625,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7286/,200,歯科医院での銀歯を白くするセラミック治療 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C21_セラミック治療・基礎と適応,0.4303,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7133/,200,痛みの少ない歯科治療の秘密: 表面麻酔、麻酔の温度管理、電動麻酔注射器の活用 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C42_医院の取り組み・理念・特色,0.2971,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7497/,200,歯が欠けたときにどうすれば良いか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C23_マイクロスコープ精密治療,0.3137,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7163/,200,歯科医院で行われる奥歯のセラミック治療 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C21_セラミック治療・基礎と適応,0.4673,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7130/,200,歯の詰め物・被せが取れた時の対処法 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C27_一般歯科・虫歯と痛み,0.4217,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/breath/,200,口臭治療 口臭外来・原因特定・検査 岡山なかの歯科・矯正歯科クリニック,口臭治療の原因特定・精密検査@@ 口臭治療 口臭外来・原因特定・検査 岡山なかの歯科・矯正歯科クリニック,口臭治療 Breath,正常,C28_歯周病治療と再生療法,0.4585,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7014/,200,歯の黄ばみに悩む方へ：歯科医師からのアドバイス 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C19_ホワイトニング・基礎と方式,0.4405,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7267/,200,歯科医院で行う歯の医療ホワイトニング　メリット、デメリット 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C19_ホワイトニング・基礎と方式,0.54,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/6839/,200,歯垢を溜めないためのポイント 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C26_自費メンテナンス・予防,0.3746,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7270/,200,定期的に歯科医院で歯のクリーニングや口腔ケアを受けるメリットとデメリット 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C19_ホワイトニング・基礎と方式,0.5169,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7378/,200,歯医者さんの定期検診で歯は白くなりますか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C09_インプラント・全顎・オールオン4,0.4686,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7664/,200,当院の患者様が高齢化しています 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.4522,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7825/,200,最強の虫歯予防 エアーフローによる歯のクリーニング 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C19_ホワイトニング・基礎と方式,0.4698,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e9%87%91%e5%b1%9e%e3%82%a2%e3%83%ac%e3%83%ab%e3%82%ae%e3%83%bc/,200,"Tag Archive for ""金属アレルギー 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,金属アレルギー,正常,C37_設備・技術・デジタル歯科,0.2518,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e8%99%ab%e6%ad%af%e4%ba%88%e9%98%b2/,200,"Tag Archive for ""虫歯予防 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,虫歯予防,正常,C27_一般歯科・虫歯と痛み,0.3686,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/tag/%e6%ad%af%e7%a7%91%e6%a4%9c%e8%a8%ba/,200,"Tag Archive for ""歯科検診 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,歯科検診,正常,C40_地域・アクセス・診療時間,0.1785,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7415/,200,ボトックスと歯科治療 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C25_審美補綴・歯肉・口元美容,0.4916,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7364/,200,妻から歯ぎしりを指摘されました、歯科で治りますか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@ちなみに、私は妻から大いびきを指摘されますが、対応はしておりません！！,,正常,C41_カウンセリング・初診・無料相談,0.4525,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8154/,200,【ホンマでっかTVでオーラルケア特集！テレビ番組で歯科特集は本当にありがたい】 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.4647,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7495/,200,バレンタインデー　チョコレートと虫歯の関係 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C27_一般歯科・虫歯と痛み,0.331,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7188/,200,3分でわかる虫歯を作らない方法 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C26_自費メンテナンス・予防,0.3904,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/dental-goods/,200,デンタルグッズ 歯ブラシ・セルフケア 岡山なかの歯科・矯正歯科クリニック,デンタルグッズ セルフケアアイテムのご紹介,"歯ブラシ, 歯みがき粉, フロス, フッ素, ブリッジ, その他",正常,C11_インプラント・治療後とメンテナンス,0.3805,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7168/,200,オールオン4のメリット、デメリット 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C09_インプラント・全顎・オールオン4,0.5343,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7127/,200,オールオン4治療：20代半ば 若い患者さんの場合 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C09_インプラント・全顎・オールオン4,0.413,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7143/,200,インプラント治療の費用は？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C08_インプラント・術式と材料選択,0.4614,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7284/,200,「オールオン4って何？」 「オールオン４（フォー）とインプラントの違いは何ですか？」 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.4843,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7077/,200,歯科金属アレルギーとは？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C42_医院の取り組み・理念・特色,0.2929,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7054/,200,歯科金属アレルギーとは？ – 歯科医師からのアドバイス 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C21_セラミック治療・基礎と適応,0.4559,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7050/,200,水道橋で途方に暮れる 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@ともかく、大雨の中、大きなスーツケ－スを抱えた私は水道橋で途方に暮れるた！,,正常,C21_セラミック治療・基礎と適応,0.3687,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7292/,200,歯医者なんて、どんなに頑張っても歯医者止まり 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C42_医院の取り組み・理念・特色,0.3423,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7326/,200,虫歯治療を受けた後に気をつけることはありますか？ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C27_一般歯科・虫歯と痛み,0.3702,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7492/,200,鳥取市でデジタル歯科、歯医者 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C37_設備・技術・デジタル歯科,0.3765,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7426/,200,デジタル革新が変えるインプラント治療の未来 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.44,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7407/,200,「インプラントって何ですか？」というご質問 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C01_マウスピース矯正・基礎理解,0.5257,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7360/,200,"40代、50代の方から,年齢を重ねても矯正治療は可能かと質問が来ました！ 岡山なかの歯科・矯正歯科クリニック",岡山なかの歯科・矯正歯科クリニック,,正常,C05_マウスピース矯正・大人の矯正,0.4311,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8162/,200,【岡山なかの歯科・矯正歯科クリニックでは歯科衛生士さんを募集しています！働きやすさ抜群の職場です】 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,【岡山なかの歯科・矯正歯科クリニックでは歯科衛生士を募集しています！働きやすさ抜群の職場です】,正常,C11_インプラント・治療後とメンテナンス,0.435,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8939/,200,【インプラント治療に対する考え方と患者さんの選択】 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C07_インプラント・基礎理解,0.477,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7472/,200,「糖尿病と歯周病の関係について] 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C28_歯周病治療と再生療法,0.3595,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8452/,200,岡山大学歯学部同窓会総会講演会　口腔がん検診 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C26_自費メンテナンス・予防,0.3815,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7874/,200,岡山でしっかりした歯周病治療 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C28_歯周病治療と再生療法,0.481,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8187/,200,【Amebaさんとコラボ！岡山なかの歯科・矯正歯科クリニック院長が歯磨き粉についてコメントしました】 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C19_ホワイトニング・基礎と方式,0.486,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/7816/,200,甲子園でインビザラインの勉強会に参加しました！ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C02_マウスピース矯正・ブランド比較,0.3933,維持・部分更新,
